pinky,ring,middle,index,thumb,gesture
1164,1237,1339,1053,1488,"default"
1173,1246,1342,1057,1489,"default"
1139,1238,1358,1064,1488,"default"
1191,1266,1361,1079,1510,"default"
1218,1296,1375,1102,1530,"default"
1264,1383,1413,1139,1563,"default"
1297,1408,1447,1178,1577,"default"
1351,1529,1552,1232,1574,"default"
1397,1646,1616,1328,1584,"default"
1430,1714,1680,1375,1518,"default"
1445,1754,1702,1427,1594,"default"
1449,1761,1712,1476,1589,"default"
1456,1773,1726,1510,1600,"default"
1453,1777,1739,1528,1598,"default"
1456,1786,1745,1517,1585,"default"
1469,1791,1744,1519,1602,"default"
1457,1802,1747,1527,1605,"default"
1445,1802,1744,1525,1600,"default"
1473,1801,1745,1529,1616,"default"
1470,1794,1744,1527,1614,"default"
1340,1557,1554,1338,1582,"default"
1205,1278,1386,1109,1535,"default"
1201,1277,1344,1104,1520,"default"
1182,1229,1329,1089,1508,"default"
1137,1207,1298,1043,1494,"default"
1115,1187,1286,1011,1488,"default"
1111,1178,1279,1007,1476,"default"
1114,1183,1280,1006,1487,"default"
593,702,631,407,848,"fist"
613,663,632,411,849,"fist"
583,654,640,416,821,"fist"
573,655,640,418,803,"fist"
580,651,643,401,790,"fist"
560,651,647,407,778,"fist"
574,650,648,402,770,"fist"
600,656,656,417,769,"fist"
583,647,651,405,776,"fist"
571,653,656,410,774,"fist"
583,658,651,401,775,"fist"
585,649,655,418,778,"fist"
578,650,656,416,778,"fist"
582,658,658,407,783,"fist"
574,656,658,410,790,"fist"
589,662,657,410,809,"fist"
591,656,653,413,810,"fist"
592,667,656,416,814,"fist"
595,659,655,414,821,"fist"
611,659,631,410,912,"fist"
630,667,632,411,1072,"fist"
635,647,656,400,1264,"fist"
625,657,642,398,1155,"fist"
597,624,583,373,946,"fist"
595,627,576,395,864,"fist"
589,639,611,402,832,"fist"
592,635,621,400,823,"fist"
592,643,624,417,829,"fist"
603,647,641,411,821,"fist"
577,655,638,411,820,"fist"
593,654,644,418,832,"fist"
592,651,629,416,837,"fist"
592,653,647,405,834,"fist"
605,656,645,412,841,"fist"
597,653,642,417,832,"fist"
594,651,640,417,837,"fist"
598,656,605,416,844,"fist"
620,654,650,426,849,"fist"
605,651,627,412,898,"fist"
624,662,619,413,988,"fist"
647,674,596,402,1009,"fist"
580,686,598,394,1013,"fist"
624,685,601,414,987,"fist"
625,684,624,404,988,"fist"
630,685,603,411,988,"fist"
626,687,603,394,971,"fist"
622,674,606,407,940,"fist"
595,671,618,409,855,"fist"
599,659,634,416,816,"fist"
592,656,650,417,827,"fist"
590,654,657,426,814,"fist"
592,656,671,429,817,"fist"
589,658,684,423,819,"fist"
594,663,677,432,836,"fist"
589,659,686,431,832,"fist"
578,662,688,432,831,"fist"
601,671,694,432,847,"fist"
589,665,694,423,844,"fist"
586,667,696,433,848,"fist"
598,651,656,432,874,"fist"
596,658,624,427,915,"fist"
621,677,610,419,971,"fist"
619,686,614,413,1003,"fist"
627,683,611,417,999,"fist"
623,687,614,422,999,"fist"
617,688,631,419,936,"fist"
581,667,639,425,838,"fist"
595,657,669,426,810,"fist"
587,676,694,414,814,"fist"
576,670,731,438,819,"fist"
609,675,712,438,817,"fist"
589,689,715,437,819,"fist"
593,685,706,440,839,"fist"
583,666,690,432,843,"fist"
586,655,656,423,880,"fist"
610,681,619,414,943,"fist"
630,690,609,423,1017,"fist"
652,709,613,420,1066,"fist"
623,745,622,402,1089,"fist"
663,706,624,423,1041,"fist"
656,721,612,429,1055,"fist"
640,703,627,419,983,"fist"
630,696,623,416,903,"fist"
605,673,635,432,861,"fist"
592,667,656,432,817,"fist"
592,720,682,432,810,"fist"
588,723,697,422,809,"fist"
593,682,709,438,816,"fist"
593,677,706,432,823,"fist"
589,671,704,433,828,"fist"
601,667,660,438,849,"fist"
619,686,617,426,914,"fist"
638,701,608,423,971,"fist"
641,685,613,419,1008,"fist"
642,709,617,402,1030,"fist"
647,713,618,432,1019,"fist"
634,711,624,427,942,"fist"
605,673,649,433,826,"fist"
589,659,675,432,816,"fist"
592,671,720,437,816,"fist"
580,675,714,425,818,"fist"
590,676,720,445,830,"fist"
598,674,727,446,839,"fist"
614,668,642,439,907,"fist"
639,677,617,436,985,"fist"
643,719,633,442,1018,"fist"
651,714,618,432,1040,"fist"
656,717,638,433,1042,"fist"
662,688,637,449,1017,"fist"
639,707,634,428,896,"fist"
592,675,663,437,797,"fist"
593,675,697,447,786,"fist"
606,663,711,445,800,"fist"
611,691,716,448,813,"fist"
614,689,734,449,819,"fist"
614,693,721,448,827,"fist"
619,672,689,446,858,"fist"
639,698,624,440,895,"fist"
651,704,615,437,976,"fist"
657,693,610,432,986,"fist"
653,720,621,415,1006,"fist"
656,713,623,433,992,"fist"
650,720,637,441,912,"fist"
624,667,657,435,834,"fist"
609,684,688,434,805,"fist"
610,681,702,451,819,"fist"
593,685,713,450,826,"fist"
601,699,710,463,836,"fist"
611,679,693,463,874,"fist"
624,692,627,451,885,"fist"
641,657,628,448,962,"fist"
639,714,607,421,998,"fist"
674,723,624,439,1005,"fist"
673,727,637,448,1029,"fist"
675,721,638,445,1018,"fist"
658,720,635,453,953,"fist"
613,686,640,457,869,"fist"
597,691,700,459,848,"fist"
607,691,723,459,848,"fist"
606,683,723,448,863,"fist"
618,699,711,462,873,"fist"
621,697,688,459,883,"fist"
583,673,699,451,896,"fist"
611,691,657,447,922,"fist"
650,706,623,431,976,"fist"
657,708,615,451,1015,"fist"
661,726,629,459,1030,"fist"
634,717,621,448,1031,"fist"
674,727,633,448,1037,"fist"
660,720,624,454,1008,"fist"
621,678,629,448,915,"fist"
625,697,654,453,830,"fist"
614,659,669,443,798,"fist"
612,687,688,447,785,"fist"
615,689,694,444,787,"fist"
611,688,705,442,787,"fist"
605,698,700,443,799,"fist"
652,695,710,449,812,"fist"
625,709,714,454,798,"fist"
611,711,711,449,816,"fist"
615,704,734,452,821,"fist"
611,720,715,450,823,"fist"
615,707,717,452,822,"fist"
620,707,721,452,827,"fist"
622,719,717,448,830,"fist"
645,743,717,456,832,"fist"
627,698,712,458,848,"fist"
624,688,678,451,869,"fist"
638,693,645,441,908,"fist"
647,714,624,438,930,"fist"
651,710,642,446,923,"fist"
647,718,624,432,941,"fist"
627,718,634,432,960,"fist"
672,674,637,443,941,"fist"
653,720,625,437,912,"fist"
646,693,647,439,832,"fist"
645,704,676,444,816,"fist"
592,690,699,451,819,"fist"
634,695,690,462,816,"fist"
629,698,714,448,820,"fist"
655,699,714,455,823,"fist"
637,704,720,437,842,"fist"
635,689,667,449,862,"fist"
647,703,617,438,909,"fist"
688,691,612,427,953,"fist"
659,720,611,443,976,"fist"
670,724,622,438,983,"fist"
661,721,622,444,976,"fist"
637,725,621,450,944,"fist"
642,705,625,448,885,"fist"
629,696,639,441,843,"fist"
626,705,687,448,830,"fist"
619,704,706,447,827,"fist"
628,706,705,451,817,"fist"
624,715,721,452,827,"fist"
611,707,722,455,835,"fist"
692,701,720,442,848,"fist"
640,688,666,457,873,"fist"
639,700,630,443,898,"fist"
614,707,619,442,909,"fist"
646,713,621,442,909,"fist"
645,715,624,448,912,"fist"
645,711,624,439,913,"fist"
645,718,622,436,902,"fist"
637,704,643,441,830,"fist"
624,689,677,443,794,"fist"
631,731,704,419,799,"fist"
629,706,714,470,801,"fist"
624,705,722,437,802,"fist"
611,705,715,455,811,"fist"
620,707,720,459,811,"fist"
646,691,715,458,813,"fist"
617,682,682,465,830,"fist"
621,693,649,448,867,"fist"
656,726,624,437,931,"fist"
636,707,620,455,955,"fist"
651,710,631,442,949,"fist"
652,709,623,445,944,"fist"
667,719,629,486,932,"fist"
631,693,651,451,859,"fist"
618,688,652,454,832,"fist"
624,702,699,470,832,"fist"
602,705,703,448,841,"fist"
640,720,722,456,818,"fist"
